participantID,speed,trial,side_foot_strike1,time_foot_strike1,side_foot_strike2,time_foot_strike2,side_foot_off1,time_foot_off1,side_foot_off2,time_foot_off2,side_foot_strike3,time_foot_strike3,side_foot_strike4,time_foot_strike4,side_foot_off3,time_foot_off3
2014005,4,5,l,0.050000008,l,1.299999952,r,0.229999959,r,1.440000057,r,0.710000098,r,1.859999895,l,0.839999974
2014005,5,1,r,0.050000038,r,1.01000011,l,0.119999975,l,1.110000014,l,0.530000031,l,1.490000129,r,0.619999945
2014005,5,2,l,0.049999971,l,1.069999933,r,0.159999982,r,1.190000057,r,0.589999914,r,1.599999905,l,0.690000057
2014005,5,3,r,0.050000023,r,0.99999994,l,0.099999979,l,1.100000143,l,0.519999921,l,1.470000029,r,0.630000055
2014005,5,4,l,0.049999949,l,0.98999989,r,0.129999995,r,1.100000024,r,0.549999952,r,1.4799999,l,0.610000014
2014006,1,1,l,0.050000105,l,3.120000124,r,0.640000045,r,3.629999876,r,1.590000033,r,4.699999809,l,2.029999971
2014006,1,2,r,0.049999788,r,3.279999733,l,0.529999793,l,3.779999733,l,1.679999948,l,4.840000153,r,2.25
2014006,1,3,r,0.050000172,r,3.309999943,l,0.579999924,l,3.809999943,l,1.510000229,l,4.919999599,r,2.300000191
2014006,1,4,r,0.050000209,r,3.28000021,l,0.679999828,l,3.910000324,l,1.599999905,l,4.980000019,r,2.490000248
2014006,2,1,r,0.050000001,r,1.810000181,l,0.349999964,l,2.140000105,l,0.940000117,l,2.7099998,r,1.25
2014006,2,2,r,0.050000034,r,1.690000057,l,0.350000113,l,1.970000029,l,0.890000045,l,2.5,r,1.130000114
2014006,2,3,r,0.050000004,r,1.709999919,l,0.270000041,l,1.959999919,l,0.870000064,l,2.620000124,r,1.129999995
2014006,2,4,r,0.04999999,r,1.929999828,l,0.319999963,l,2.170000076,l,1.019999981,l,2.820000172,r,1.309999943
2014006,3,1,r,0.050000001,r,1.289999962,l,0.219999954,l,1.450000048,l,0.659999907,l,1.889999866,r,0.849999964
2014006,3,2,r,0.050000057,r,1.300000072,l,0.219999894,l,1.4799999,l,0.659999967,l,1.929999948,r,0.870000005
2014006,3,3,r,0.050000016,r,1.299999952,l,0.199999988,l,1.460000038,l,0.650000036,l,1.900000095,r,0.830000103
2014006,3,4,r,0.050000016,r,1.320000172,l,0.199999988,l,1.480000019,l,0.680000007,l,1.930000067,r,0.850000083
2014006,3,5,r,0.050000027,r,1.290000081,l,0.200000003,l,1.449999928,l,0.679999888,l,1.889999986,r,0.849999964
2014006,4,1,l,0.049999941,l,1.099999905,r,0.180000052,r,1.220000029,r,0.580000043,r,1.640000105,l,0.710000038
2014006,4,2,l,0.050000016,l,1.150000095,r,0.189999998,r,1.289999962,r,0.609999955,r,1.660000086,l,0.74999994
2014006,4,3,l,0.049999982,l,1.170000076,r,0.179999977,r,1.309999943,r,0.620000005,r,1.730000019,l,0.75
2014006,4,4,l,0.049999997,l,1.139999986,r,0.170000002,r,1.259999871,r,0.589999974,r,1.669999957,l,0.729999959
2014006,5,1,l,0.049999949,l,1.030000091,r,0.169999957,r,1.129999995,r,0.540000081,r,1.51000011,l,0.639999986
2014006,5,2,l,0.050000116,l,1.050000072,r,0.14000003,r,1.159999967,r,0.550000131,r,1.550000072,l,0.660000026
2014006,5,3,r,0.04999999,r,1.049999952,l,0.150000021,l,1.149999857,l,0.560000002,l,1.529999971,r,0.660000026
2014006,5,4,r,0.049999986,r,1.029999852,l,0.159999996,l,1.139999986,l,0.529999912,l,1.529999852,r,0.650000036
2014006,5,5,l,0.050000023,l,1.039999962,r,0.150000051,r,1.130000114,r,0.549999893,r,1.519999981,l,0.640000045
2014007,1,1,l,0.04999977,l,2.789999485,r,0.520000041,r,3.339999676,r,1.269999981,r,4.21999979,l,2.110000134
2014007,1,2,r,0.049999848,r,2.610000372,l,0.659999967,l,3.089999914,l,1.429999948,l,3.930000067,r,1.889999986
2014007,1,3,l,0.050000116,l,2.78000021,r,0.590000093,r,3.350000381,r,1.280000091,r,3.930000305,l,2.099999905
2014007,1,4,r,0.050000191,r,2.470000267,l,0.690000057,l,3.050000191,l,1.319999695,l,3.670000076,r,1.779999733
2014007,1,5,l,0.050000001,l,2.640000105,r,0.629999936,r,3.169999838,r,1.249999762,r,3.909999609,l,1.970000029
2014007,2,1,r,0.050000116,r,1.700000167,l,0.340000063,l,2.090000153,l,0.910000026,l,2.550000191,r,1.189999938
2014007,2,2,r,0.049999952,r,1.670000076,l,0.309999943,l,2.050000191,l,0.869999886,l,2.510000229,r,1.170000076
2014007,2,3,l,0.049999963,l,1.609999895,r,0.299999952,r,1.930000067,r,0.819999933,r,2.499999762,l,1.119999886
2014007,2,4,l,0.050000008,l,1.699999809,r,0.349999964,r,2.059999943,r,0.869999945,r,2.5,l,1.200000048
2014007,2,5,r,0.049999915,r,1.75,l,0.410000056,l,2.090000153,l,0.959999979,l,2.53000021,r,1.28000021
